"","Latitude","Longitude","Place","As","Cr","Zn"
"414",35.686,-116.90194,"Trona",5.7,30,67
"415",35.13305,-117.91235,"Trona",19.4,10,37
"416",37.19615,-117.55128,"Goldfield",5.3,11,53
"417",36.89559,-118.06882,"Fresno",7.5,36,60
"418",35.51344,-115.57653,"Kingman",9.2,19,89
"419",36.22863,-117.07247,"Death Valley",3.1,59,94
"420",33.68348,-115.04784,"Salton Sea",5.3,20,52
"421",34.08734,-117.82777,"San Bernardino",7.9,37,108
"422",34.22924,-116.68563,"San Bernardino",1,7,55
"423",34.02834,-117.77167,"San Bernardino",19.5,35,108
"424",36.28581,-116.66178,"Death Valley",9.4,124,126
"425",34.05664,-116.49409,"San Bernardino",-0.6,43,116
"426",36.71682,-116.8676,"Death Valley",19.2,51,61
"427",35.47599,-116.17586,"Trona",4.9,20,40
"428",34.1813,-116.47448,"San Bernardino",12.4,23,77
"429",36.37348,-117.28243,"Death Valley",10.3,42,46
"430",33.92021,-115.3107,"Salton Sea",2.6,14,63
"431",34.0848,-116.86424,"San Bernardino",0.8,56,107
"432",34.15041,-115.965,"Needles",1.9,33,46
"433",36.64311,-116.73726,"Death Valley",12.1,24,70
"434",34.377,-116.67762,"San Bernardino",2.3,26,52
"435",35.38733,-116.25341,"Trona",12.6,33,68
"436",36.45303,-118.19468,"Fresno",-0.6,3,19
"437",33.34932,-114.78129,"Salton Sea",5.3,20,56
"438",35.30688,-115.87992,"Kingman",4.4,21,58
"439",34.53514,-117.92144,"San Bernardino",2.8,57,60
"440",33.07677,-114.71876,"Salton Sea",10.1,19,37
"441",34.12043,-116.12209,"San Bernardino",1.9,27,74
"442",34.14831,-117.89841,"San Bernardino",24,18,110
"443",34.36541,-116.83489,"San Bernardino",4,26,51
"444",35.18941,-115.58791,"Kingman",4.3,36,64
"445",35.53526,-115.7909,"Kingman",7.4,25,55
"446",34.04859,-115.73304,"Needles",3.2,24,56
"447",34.13641,-117.53362,"San Bernardino",1.5,34,114
"448",35.21204,-117.97346,"Trona",7.4,18,78
"449",34.37591,-117.50491,"San Bernardino",4.5,122,74
"450",35.89574,-117.91591,"Trona",2.5,28,99
"451",34.01862,-116.76812,"San Bernardino",1.9,17,58
"452",34.41322,-116.41918,"San Bernardino",2.7,86,73
"453",37.83139,-119.19802,"Mariposa",27.8,16,92
"454",34.52836,-115.11287,"Needles",2.1,12,77
"455",34.38247,-114.65268,"Needles",3.4,137,139
"456",34.46051,-116.9765,"San Bernardino",3,29,88
"457",34.79841,-117.7114,"San Bernardino",3.4,40,75
"458",34.15396,-115.56808,"Needles",1.9,13,47
"459",34.88065,-117.80312,"San Bernardino",2.8,23,41
"460",34.30034,-117.83186,"San Bernardino",2,25,98
"461",34.85684,-117.97424,"San Bernardino",11.2,33,68
"462",37.05748,-117.4704,"Goldfield",21.3,25,123
"463",34.33408,-117.07543,"San Bernardino",0.8,33,34
"464",34.18516,-116.18766,"San Bernardino",1.1,24,65
"465",36.1064,-116.43488,"Death Valley",8.5,23,75
"466",35.30726,-117.29224,"Trona",6.3,23,87
"467",34.05351,-117.20684,"San Bernardino",1.9,19,72
"468",36.16018,-116.29769,"Death Valley",17.9,25,54
"469",35.93185,-116.57482,"Trona",8.8,24,76
"470",34.45679,-116.44415,"San Bernardino",2,36,72
"471",34.2261,-117.38666,"San Bernardino",1.8,55,118
"472",33.48795,-115.11197,"Salton Sea",8.1,115,127
"473",35.30756,-115.73809,"Kingman",5.4,30,81
"474",34.06229,-116.2745,"San Bernardino",21.6,37,255
"475",34.593,-117.73439,"San Bernardino",2.2,31,74
"476",34.37162,-117.76527,"San Bernardino",4.3,27,100
"477",36.47304,-117.23668,"Death Valley",11.1,49,73
"478",35.74794,-116.31576,"Trona",4.9,9,48
"479",34.23569,-117.78764,"San Bernardino",5.5,62,90
